id,state,team,component,env_no,environment,module,schema_name,exp_date,source_exp_date,edited_at,first_seen_at,last_seen_at
26,AK,Cognos,Database Password Expiry,31,DEV,Database Password Expiry (Cognos),ENV31_CGNS_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
27,AK,Informatica,Database Password Expiry,31,DEV,Database Password Expiry (Informatica),ENV31_INFA_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
28,AK,Letters,Database Password Expiry,31,DEV,Database Password Expiry (Letters),ENV31_LTRS_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
29,AK,App Server,Database Password Expiry,31,DEV,Database Password Expiry (App Server),ENV31_APPSRV_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
30,AK,Core,Database Password Expiry,31,DEV,Database Password Expiry (Core),ENV31_CORE_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
486,NH,Cognos,Database Password Expiry,82,DR,Database Password Expiry (Cognos),ENV82_CGNS_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
487,NH,Informatica,Database Password Expiry,82,DR,Database Password Expiry (Informatica),ENV82_INFA_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
488,NH,Letters,Database Password Expiry,82,DR,Database Password Expiry (Letters),ENV82_LTRS_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
489,NH,App Server,Database Password Expiry,82,DR,Database Password Expiry (App Server),ENV82_APPSRV_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
490,NH,Core,Database Password Expiry,82,DR,Database Password Expiry (Core),ENV82_CORE_DBPWD,2026-09-18,2026-09-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
466,NH,Cognos,Database Password Expiry,58,MO,Database Password Expiry (Cognos),ENV58_CGNS_DBPWD,2026-10-07,2026-10-07,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
467,NH,Informatica,Database Password Expiry,58,MO,Database Password Expiry (Informatica),ENV58_INFA_DBPWD,2026-10-07,2026-10-07,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
468,NH,Letters,Database Password Expiry,58,MO,Database Password Expiry (Letters),ENV58_LTRS_DBPWD,2026-10-07,2026-10-07,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
469,NH,App Server,Database Password Expiry,58,MO,Database Password Expiry (App Server),ENV58_APPSRV_DBPWD,2026-10-07,2026-10-07,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
470,NH,Core,Database Password Expiry,58,MO,Database Password Expiry (Core),ENV58_CORE_DBPWD,2026-10-07,2026-10-07,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
196,ND,Cognos,Upgrade & Patch Tasks,19,DR,Upgrade & Patch Tasks (Cognos),ENV19_CGNS_PATCH,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
197,ND,Informatica,Upgrade & Patch Tasks,19,DR,Upgrade & Patch Tasks (Informatica),ENV19_INFA_PATCH,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
198,ND,Letters,Upgrade & Patch Tasks,19,DR,Upgrade & Patch Tasks (Letters),ENV19_LTRS_PATCH,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
199,ND,App Server,Upgrade & Patch Tasks,19,DR,Upgrade & Patch Tasks (App Server),ENV19_APPSRV_PATCH,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
200,ND,Core,Upgrade & Patch Tasks,19,DR,Upgrade & Patch Tasks (Core),ENV19_CORE_PATCH,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
241,ND,Cognos,Crypto Keys & CA Certificates,75,DEV,Crypto Keys & CA Certificates (Cognos),ENV75_CGNS_CRYPTO,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
242,ND,Informatica,Crypto Keys & CA Certificates,75,DEV,Crypto Keys & CA Certificates (Informatica),ENV75_INFA_CRYPTO,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
243,ND,Letters,Crypto Keys & CA Certificates,75,DEV,Crypto Keys & CA Certificates (Letters),ENV75_LTRS_CRYPTO,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
244,ND,App Server,Crypto Keys & CA Certificates,75,DEV,Crypto Keys & CA Certificates (App Server),ENV75_APPSRV_CRYPTO,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
245,ND,Core,Crypto Keys & CA Certificates,75,DEV,Crypto Keys & CA Certificates (Core),ENV75_CORE_CRYPTO,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
251,ND,Cognos,Software Versions & N-1 Tracking,75,DEV,Software Versions & N-1 Tracking (Cognos),ENV75_CGNS_SWVER,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
252,ND,Informatica,Software Versions & N-1 Tracking,75,DEV,Software Versions & N-1 Tracking (Informatica),ENV75_INFA_SWVER,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
253,ND,Letters,Software Versions & N-1 Tracking,75,DEV,Software Versions & N-1 Tracking (Letters),ENV75_LTRS_SWVER,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
254,ND,App Server,Software Versions & N-1 Tracking,75,DEV,Software Versions & N-1 Tracking (App Server),ENV75_APPSRV_SWVER,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
255,ND,Core,Software Versions & N-1 Tracking,75,DEV,Software Versions & N-1 Tracking (Core),ENV75_CORE_SWVER,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
346,NH,Cognos,Database Password Expiry,4,UAT,Database Password Expiry (Cognos),ENV4_CGNS_DBPWD,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
347,NH,Informatica,Database Password Expiry,4,UAT,Database Password Expiry (Informatica),ENV4_INFA_DBPWD,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
348,NH,Letters,Database Password Expiry,4,UAT,Database Password Expiry (Letters),ENV4_LTRS_DBPWD,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
349,NH,App Server,Database Password Expiry,4,UAT,Database Password Expiry (App Server),ENV4_APPSRV_DBPWD,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
350,NH,Core,Database Password Expiry,4,UAT,Database Password Expiry (Core),ENV4_CORE_DBPWD,2026-10-16,2026-10-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
366,NH,Cognos,Database Password Expiry,5,PROD,Database Password Expiry (Cognos),ENV5_CGNS_DBPWD,2026-11-16,2026-11-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
367,NH,Informatica,Database Password Expiry,5,PROD,Database Password Expiry (Informatica),ENV5_INFA_DBPWD,2026-11-16,2026-11-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
368,NH,Letters,Database Password Expiry,5,PROD,Database Password Expiry (Letters),ENV5_LTRS_DBPWD,2026-11-16,2026-11-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
369,NH,App Server,Database Password Expiry,5,PROD,Database Password Expiry (App Server),ENV5_APPSRV_DBPWD,2026-11-16,2026-11-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
370,NH,Core,Database Password Expiry,5,PROD,Database Password Expiry (Core),ENV5_CORE_DBPWD,2026-11-16,2026-11-16,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
66,AK,Cognos,Database Password Expiry,35,SIT,Database Password Expiry (Cognos),ENV35_CGNS_DBPWD,2026-11-18,2026-11-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
67,AK,Informatica,Database Password Expiry,35,SIT,Database Password Expiry (Informatica),ENV35_INFA_DBPWD,2026-11-18,2026-11-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
68,AK,Letters,Database Password Expiry,35,SIT,Database Password Expiry (Letters),ENV35_LTRS_DBPWD,2026-11-18,2026-11-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
69,AK,App Server,Database Password Expiry,35,SIT,Database Password Expiry (App Server),ENV35_APPSRV_DBPWD,2026-11-18,2026-11-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
70,AK,Core,Database Password Expiry,35,SIT,Database Password Expiry (Core),ENV35_CORE_DBPWD,2026-11-18,2026-11-18,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
106,AK,Cognos,Database Password Expiry,38,SIT,Database Password Expiry (Cognos),ENV38_CGNS_DBPWD,2026-11-19,2026-11-19,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
107,AK,Informatica,Database Password Expiry,38,SIT,Database Password Expiry (Informatica),ENV38_INFA_DBPWD,2026-11-19,2026-11-19,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
108,AK,Letters,Database Password Expiry,38,SIT,Database Password Expiry (Letters),ENV38_LTRS_DBPWD,2026-11-19,2026-11-19,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
109,AK,App Server,Database Password Expiry,38,SIT,Database Password Expiry (App Server),ENV38_APPSRV_DBPWD,2026-11-19,2026-11-19,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
110,AK,Core,Database Password Expiry,38,SIT,Database Password Expiry (Core),ENV38_CORE_DBPWD,2026-11-19,2026-11-19,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
221,ND,Cognos,Crypto Keys & CA Certificates,73,DEV,Crypto Keys & CA Certificates (Cognos),ENV73_CGNS_CRYPTO,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
222,ND,Informatica,Crypto Keys & CA Certificates,73,DEV,Crypto Keys & CA Certificates (Informatica),ENV73_INFA_CRYPTO,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
223,ND,Letters,Crypto Keys & CA Certificates,73,DEV,Crypto Keys & CA Certificates (Letters),ENV73_LTRS_CRYPTO,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
224,ND,App Server,Crypto Keys & CA Certificates,73,DEV,Crypto Keys & CA Certificates (App Server),ENV73_APPSRV_CRYPTO,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
225,ND,Core,Crypto Keys & CA Certificates,73,DEV,Crypto Keys & CA Certificates (Core),ENV73_CORE_CRYPTO,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
226,ND,Cognos,Database Password Expiry,73,DEV,Database Password Expiry (Cognos),ENV73_CGNS_DBPWD,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
227,ND,Informatica,Database Password Expiry,73,DEV,Database Password Expiry (Informatica),ENV73_INFA_DBPWD,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
228,ND,Letters,Database Password Expiry,73,DEV,Database Password Expiry (Letters),ENV73_LTRS_DBPWD,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
229,ND,App Server,Database Password Expiry,73,DEV,Database Password Expiry (App Server),ENV73_APPSRV_DBPWD,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
230,ND,Core,Database Password Expiry,73,DEV,Database Password Expiry (Core),ENV73_CORE_DBPWD,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
231,ND,Cognos,Software Versions & N-1 Tracking,73,DEV,Software Versions & N-1 Tracking (Cognos),ENV73_CGNS_SWVER,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
232,ND,Informatica,Software Versions & N-1 Tracking,73,DEV,Software Versions & N-1 Tracking (Informatica),ENV73_INFA_SWVER,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
233,ND,Letters,Software Versions & N-1 Tracking,73,DEV,Software Versions & N-1 Tracking (Letters),ENV73_LTRS_SWVER,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
234,ND,App Server,Software Versions & N-1 Tracking,73,DEV,Software Versions & N-1 Tracking (App Server),ENV73_APPSRV_SWVER,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
235,ND,Core,Software Versions & N-1 Tracking,73,DEV,Software Versions & N-1 Tracking (Core),ENV73_CORE_SWVER,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
236,ND,Cognos,Upgrade & Patch Tasks,73,DEV,Upgrade & Patch Tasks (Cognos),ENV73_CGNS_PATCH,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
237,ND,Informatica,Upgrade & Patch Tasks,73,DEV,Upgrade & Patch Tasks (Informatica),ENV73_INFA_PATCH,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
238,ND,Letters,Upgrade & Patch Tasks,73,DEV,Upgrade & Patch Tasks (Letters),ENV73_LTRS_PATCH,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
239,ND,App Server,Upgrade & Patch Tasks,73,DEV,Upgrade & Patch Tasks (App Server),ENV73_APPSRV_PATCH,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
240,ND,Core,Upgrade & Patch Tasks,73,DEV,Upgrade & Patch Tasks (Core),ENV73_CORE_PATCH,2026-11-28,2026-11-28,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
181,ND,Cognos,Crypto Keys & CA Certificates,19,DR,Crypto Keys & CA Certificates (Cognos),ENV19_CGNS_CRYPTO,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
182,ND,Informatica,Crypto Keys & CA Certificates,19,DR,Crypto Keys & CA Certificates (Informatica),ENV19_INFA_CRYPTO,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
183,ND,Letters,Crypto Keys & CA Certificates,19,DR,Crypto Keys & CA Certificates (Letters),ENV19_LTRS_CRYPTO,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
184,ND,App Server,Crypto Keys & CA Certificates,19,DR,Crypto Keys & CA Certificates (App Server),ENV19_APPSRV_CRYPTO,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
185,ND,Core,Crypto Keys & CA Certificates,19,DR,Crypto Keys & CA Certificates (Core),ENV19_CORE_CRYPTO,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
186,ND,Cognos,Database Password Expiry,19,DR,Database Password Expiry (Cognos),ENV19_CGNS_DBPWD,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
187,ND,Informatica,Database Password Expiry,19,DR,Database Password Expiry (Informatica),ENV19_INFA_DBPWD,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
188,ND,Letters,Database Password Expiry,19,DR,Database Password Expiry (Letters),ENV19_LTRS_DBPWD,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
189,ND,App Server,Database Password Expiry,19,DR,Database Password Expiry (App Server),ENV19_APPSRV_DBPWD,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
190,ND,Core,Database Password Expiry,19,DR,Database Password Expiry (Core),ENV19_CORE_DBPWD,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
296,ND,Cognos,Upgrade & Patch Tasks,77,UAT,Upgrade & Patch Tasks (Cognos),ENV77_CGNS_PATCH,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
297,ND,Informatica,Upgrade & Patch Tasks,77,UAT,Upgrade & Patch Tasks (Informatica),ENV77_INFA_PATCH,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
298,ND,Letters,Upgrade & Patch Tasks,77,UAT,Upgrade & Patch Tasks (Letters),ENV77_LTRS_PATCH,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
299,ND,App Server,Upgrade & Patch Tasks,77,UAT,Upgrade & Patch Tasks (App Server),ENV77_APPSRV_PATCH,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
300,ND,Core,Upgrade & Patch Tasks,77,UAT,Upgrade & Patch Tasks (Core),ENV77_CORE_PATCH,2026-12-27,2026-12-27,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
266,ND,Cognos,Database Password Expiry,76,SIT,Database Password Expiry (Cognos),ENV76_CGNS_DBPWD,2027-01-26,2027-01-26,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
267,ND,Informatica,Database Password Expiry,76,SIT,Database Password Expiry (Informatica),ENV76_INFA_DBPWD,2027-01-26,2027-01-26,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
268,ND,Letters,Database Password Expiry,76,SIT,Database Password Expiry (Letters),ENV76_LTRS_DBPWD,2027-01-26,2027-01-26,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
269,ND,App Server,Database Password Expiry,76,SIT,Database Password Expiry (App Server),ENV76_APPSRV_DBPWD,2027-01-26,2027-01-26,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
270,ND,Core,Database Password Expiry,76,SIT,Database Password Expiry (Core),ENV76_CORE_DBPWD,2027-01-26,2027-01-26,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
446,NH,Cognos,Database Password Expiry,57,SIT,Database Password Expiry (Cognos),ENV57_CGNS_DBPWD,2027-02-01,2027-02-01,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
447,NH,Informatica,Database Password Expiry,57,SIT,Database Password Expiry (Informatica),ENV57_INFA_DBPWD,2027-02-01,2027-02-01,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
448,NH,Letters,Database Password Expiry,57,SIT,Database Password Expiry (Letters),ENV57_LTRS_DBPWD,2027-02-01,2027-02-01,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
449,NH,App Server,Database Password Expiry,57,SIT,Database Password Expiry (App Server),ENV57_APPSRV_DBPWD,2027-02-01,2027-02-01,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
450,NH,Core,Database Password Expiry,57,SIT,Database Password Expiry (Core),ENV57_CORE_DBPWD,2027-02-01,2027-02-01,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
91,AK,Cognos,Software Versions & N-1 Tracking,37,MO,Software Versions & N-1 Tracking (Cognos),ENV37_CGNS_SWVER,2027-03-08,2027-03-08,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
92,AK,Informatica,Software Versions & N-1 Tracking,37,MO,Software Versions & N-1 Tracking (Informatica),ENV37_INFA_SWVER,2027-03-08,2027-03-08,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
93,AK,Letters,Software Versions & N-1 Tracking,37,MO,Software Versions & N-1 Tracking (Letters),ENV37_LTRS_SWVER,2027-03-08,2027-03-08,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
94,AK,App Server,Software Versions & N-1 Tracking,37,MO,Software Versions & N-1 Tracking (App Server),ENV37_APPSRV_SWVER,2027-03-08,2027-03-08,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
95,AK,Core,Software Versions & N-1 Tracking,37,MO,Software Versions & N-1 Tracking (Core),ENV37_CORE_SWVER,2027-03-08,2027-03-08,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
421,NH,Cognos,Crypto Keys & CA Certificates,54,DEV,Crypto Keys & CA Certificates (Cognos),ENV54_CGNS_CRYPTO,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
422,NH,Informatica,Crypto Keys & CA Certificates,54,DEV,Crypto Keys & CA Certificates (Informatica),ENV54_INFA_CRYPTO,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
423,NH,Letters,Crypto Keys & CA Certificates,54,DEV,Crypto Keys & CA Certificates (Letters),ENV54_LTRS_CRYPTO,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
424,NH,App Server,Crypto Keys & CA Certificates,54,DEV,Crypto Keys & CA Certificates (App Server),ENV54_APPSRV_CRYPTO,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
425,NH,Core,Crypto Keys & CA Certificates,54,DEV,Crypto Keys & CA Certificates (Core),ENV54_CORE_CRYPTO,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
431,NH,Cognos,Software Versions & N-1 Tracking,54,DEV,Software Versions & N-1 Tracking (Cognos),ENV54_CGNS_SWVER,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
432,NH,Informatica,Software Versions & N-1 Tracking,54,DEV,Software Versions & N-1 Tracking (Informatica),ENV54_INFA_SWVER,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
433,NH,Letters,Software Versions & N-1 Tracking,54,DEV,Software Versions & N-1 Tracking (Letters),ENV54_LTRS_SWVER,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
434,NH,App Server,Software Versions & N-1 Tracking,54,DEV,Software Versions & N-1 Tracking (App Server),ENV54_APPSRV_SWVER,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
435,NH,Core,Software Versions & N-1 Tracking,54,DEV,Software Versions & N-1 Tracking (Core),ENV54_CORE_SWVER,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
436,NH,Cognos,Upgrade & Patch Tasks,54,DEV,Upgrade & Patch Tasks (Cognos),ENV54_CGNS_PATCH,2027-04-14,2027-04-14,,2026-09-02T12:43:42.332179+00:00,2026-09-02T12:43:42.332179+00:00
